"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","Operational"
"27","343.3080465464664","69.19342902264718","0.00634765625","0.0087890625","0.00390625","2280","0.00019585363022936884","32","0.00019585363022936884","0","0.00019585363022936884","0.00019585363022936884","26:0.07081008523654525;28:0.0013237255860674702;17:0.0010336930842706482","26:68;28:68;17:68","26:0.003212551240389383;28:0.0018103830128984866;17:0.0017176746862311576","Yes"
"28","265.7819321207048","277.8140398283852","0.006103515625","0.00927734375","0.0029296875","2280","0.00015467138661129286","32","0.00015467138661129286","0","0.00015467138661129286","0.00015467138661129286","27:0.0013237255860674702;29:0.006479193765432545","27:68;29:68","27:0.0018103830128984866;29:0.0028191866597482573","Yes"
"29","210.81253106263605","97.76469776258517","0.0087890625","0.009765625","0.0078125","2280","0.00015267182261392647","32","0.00015267182261392647","0","0.00015267182261392647","0.00015267182261392647","38:0.02587985636820922;28:0.006479193765432545;30:0.0013161569102336512","38:68;28:68;30:80","38:0.00667963643499761;28:0.0028191866597482573;30:0.0017202084026892717","Yes"
"30","259.99095073290414","59.42239343573202","0.00634765625","0.00732421875","0.00537109375","2280","0.00030758595458792154","32","0.00030758595458792154","0","0.00030758595458792154","0.00030758595458792154","31:0.0038640343318175063;29:0.0013161569102336512","31:68;29:80","31:0.002427340277962098;29:0.0017202084026892717","Yes"
"31","381.5629141840173","327.4724486089404","0.013916015625","0.0205078125","0.00732421875","2280","0.00020744242212279658","32","0.00020744242212279658","0","0.00020744242212279658","0.00020744242212279658","30:0.0038640343318175063;32:0.002412157550031435;18:0.002841843564652391","30:68;32:68;18:68","30:0.002427340277962098;32:0.003619981473806544;18:0.0022585579323391447","Yes"
"32","348.58016433303345","545.9984255131275","0.019775390625","0.0244140625","0.01513671875","2280","0.00025313569594100993","32","0.00025313569594100993","0","0.00025313569594100993","0.00025313569594100993","31:0.002412157550031435;33:0.0032546613697872206","31:68;33:68","31:0.003619981473806544;33:0.0016609891019673806","Yes"
"33","406.08841185690216","427.6022968869069","0.01123046875","0.01171875","0.0107421875","2280","0.00010767873608058815","32","0.00010767873608058815","0","0.00010767873608058815","0.00010767873608058815","39:0.001430334655985216;32:0.0032546613697872206;34:0.004844090646125648","39:68;32:68;34:108","39:0.0014810574809392685;32:0.0016609891019673806","Yes"
"34","350.13577704042063","248.4228089819126","0.02685546875","0.02685546875","0.02685546875","2280","0.0002003692353162898","32","0.0002003692353162898","0","0.0002003692353162898","0.0002003692353162898","33:0.004844090646125648;35:0.002283747616659615","33:108;35:68","35:0.002773334571385594","Yes"
"35","343.4069653687748","316.191155784985","0.02978515625","0.04931640625","0.01025390625","2280","0.00015079996772895707","32","0.00015079996772895707","0","0.00015079996772895707","0.00015079996772895707","19:0.0015773845965580402;34:0.002283747616659615","19:68;34:68","19:0.003323366104055092;34:0.002773334571385594","Yes"
"36","269.10817613446454","192.98555213980194","0.006591796875","0.00927734375","0.00390625","2280","0.0002334260504709186","32","0.0002334260504709186","0","0.0002334260504709186","0.0002334260504709186","41:0.0021691536428682656;21:0.0011079306514081289","41:68;21:68","41:0.0034118397665235667;21:0.002772301154928075","Yes"
"37","166.34536623938635","56.55957554858511","0.0078125","0.01416015625","0.00146484375","2280","0.00024132084345896814","32","0.00024132084345896814","0","0.00024132084345896814","0.00024132084345896814","45:0.0016850711875573965;25:0.0014035262502060941","45:68;25:68","45:0.005123756500240634;25:0.004171214054296046","Yes"
"38","243.8655822915865","86.12692552551194","0.00732421875","0.013671875","0.0009765625","2280","0.00019562825028728533","32","0.00019562825028728533","0","0.00019562825028728533","0.00019562825028728533","29:0.02587985636820922;49:0.001525250905300285","29:68;49:68","29:0.00667963643499761;49:0.0013281661702805592","Yes"
"39","211.6955271265669","139.77128794432065","0.010498046875","0.01025390625","0.0107421875","2280","0.00017985983614163018","32","0.00017985983614163018","0","0.00017985983614163018","0.00017985983614163018","53:0.0016062532943479924;33:0.001430334655985216","53:68;33:68","53:0.0015180545936600565;33:0.0014810574809392685","Yes"
"40","274.10651459157737","27.616496689227674","0.006103515625","0.0087890625","0.00341796875","2280","0.0005994819581500262","32","0.0005994819581500262","0","0.0005994819581500262","0.0005994819581500262","41:0.0029315227292643076","41:68","41:0.006125969467377229","Yes"
"41","299.29625440575774","19.18701638834785","0.004150390625","0.005859375","0.00244140625","2280","0.0002810924040274907","32","0.0002810924040274907","0","0.0002810924040274907","0.0002810924040274907","40:0.0029315227292643076;42:0.03291833060295998;36:0.0021691536428682656","40:68;42:68;36:68","40:0.006125969467377229;42:0.0032605322583514063;36:0.0034118397665235667","Yes"
"42","329.1864619265071","49.03908788980752","0.00341796875","0.0048828125","0.001953125","2280","0.0002889680892913786","32","0.0002889680892913786","0","0.0002889680892913786","0.0002889680892913786","41:0.03291833060295998;43:0.0029619699982322834","41:68;43:68","41:0.0032605322583514063;43:0.0027574763301133343","Yes"
"43","338.79144015681146","19.204446107809588","0.006591796875","0.0126953125","0.00048828125","2280","0.00046836048831102207","32","0.00046836048831102207","0","0.00046836048831102207","0.00046836048831102207","42:0.0029619699982322834;56:0.0038292994909121247;44:0.0023285601865007666","42:68;56:68;44:68","42:0.0027574763301133343;56:0.0059600168352872684;44:0.005136856802833711","Yes"
"44","296.28376145024305","364.6693709959263","0.00634765625","0.0068359375","0.005859375","2280","0.00022746257786008774","32","0.00022746257786008774","0","0.00022746257786008774","0.00022746257786008774","45:0.004925705426089666;43:0.0023285601865007666","45:68;43:68","45:0.0023561915591191196;43:0.005136856802833711","Yes"
"45","200.36897045871763","128.24501490492287","0.016845703125","0.0302734375","0.00341796875","2280","0.0002850076441193127","32","0.0002850076441193127","0","0.0002850076441193127","0.0002850076441193127","44:0.004925705426089666;46:0.001250154355205979;37:0.0016850711875573965","44:68;46:68;37:68","44:0.0023561915591191196;46:0.0023586252418364984;37:0.005123756500240634","Yes"
"46","154.5054698735163","124.76433629487836","0.00927734375","0.0146484375","0.00390625","2280","0.00019772961822527076","32","0.00019772961822527076","0","0.00019772961822527076","0.00019772961822527076","45:0.001250154355205979;47:0.0020052216462430883","45:68;47:68","45:0.0023586252418364984;47:0.0023341163421235767","Yes"
"47","306.525597787215","257.9905028183437","0.0146484375","0.01416015625","0.01513671875","2280","0.00034425478061395217","32","0.00034425478061395217","0","0.00034425478061395217","0.00034425478061395217","48:0.006992350343513226;57:0.0017469397436837009;46:0.0020052216462430883","48:68;57:68;46:68","48:0.003014272676537283;57:0.002577158021401127;46:0.0023341163421235767","Yes"
"48","257.3089556358418","39.45417234774848","0.003662109375","0.00537109375","0.001953125","2280","0.0001700865246999721","32","0.0001700865246999721","0","0.0001700865246999721","0.0001700865246999721","47:0.006992350343513226;49:0.0029113649796764507","47:68;49:68","47:0.003014272676537283;49:0.0030417961362823875","Yes"
"49","331.34086922500575","87.1722537148502","0.006591796875","0.0087890625","0.00439453125","2280","0.000353904841110762","32","0.000353904841110762","0","0.000353904841110762","0.000353904841110762","48:0.0029113649796764507;50:0.002612327102061246;38:0.001525250905300285","48:68;50:68;38:68","48:0.0030417961362823875;50:0.004145395887425796;38:0.0013281661702805592","Yes"
"50","325.7532720048644","401.18057573286103","0.00341796875","0.0048828125","0.001953125","2280","0.00014781227779132083","32","0.00014781227779132083","0","0.00014781227779132083","0.00014781227779132083","49:0.002612327102061246;51:0.0015526320171289076","49:68;51:68","49:0.004145395887425796;51:0.002661474455582097","Yes"
"51","267.5462552150139","410.4404480630037","0.01611328125","0.01806640625","0.01416015625","2280","0.00024485968499087115","32","0.00024485968499087115","0","0.00024485968499087115","0.00024485968499087115","50:0.0015526320171289076;52:0.0015592375304188388;58:0.001644124394452634","50:68;52:68;58:68","50:0.002661474455582097;52:0.003331638942221382;58:0.0022284890831653636","Yes"
"52","118.22575367521443","51.79391587686647","0.009033203125","0.01611328125","0.001953125","2280","0.00016292276334668124","32","0.00016292276334668124","0","0.00016292276334668124","0.00016292276334668124","51:0.0015592375304188388;53:0.002121962266232985","51:68;53:68","51:0.003331638942221382;53:0.0029445314146524237","Yes"
"53","401.5928749960362","48.579189701060045","0.00537109375","0.00830078125","0.00244140625","2280","0.0001704807205114095","32","0.0001704807205114095","0","0.0001704807205114095","0.0001704807205114095","39:0.0016062532943479924;52:0.002121962266232985;54:0.0011733674414020623","39:68;52:68;54:68","39:0.0015180545936600565;52:0.0029445314146524237;54:0.0009438367439451034","Yes"
"54","299.0801852085555","91.78608680577112","0.043212890625","0.08154296875","0.0048828125","2280","0.0004081615859725365","32","0.0004081615859725365","0","0.0004081615859725365","0.0004081615859725365","53:0.0011733674414020623;55:0.0021563119459798996","53:68;55:68","53:0.0009438367439451034;55:0.0017610180605764358","Yes"
"55","337.55665849101183","88.64258401967317","0.01318359375","0.01171875","0.0146484375","2280","0.0003023472143119503","32","0.0003023472143119503","0","0.0003023472143119503","0.0003023472143119503","59:0.0016774836507531254;54:0.0021563119459798996","59:68;54:68","59:0.0034269824927674886;54:0.0017610180605764358","Yes"
"56","166.28243884786576","29.63333202476912","0.01025390625","0.0126953125","0.0078125","2280","0.0002789811923781196","32","0.0002789811923781196","0","0.0002789811923781196","0.0002789811923781196","63:0.0031800368244727373;43:0.0038292994909121247","63:68;43:68","63:0.002663180400891557;43:0.0059600168352872684","Yes"
"57","181.9549186347893","93.9021867269012","0.006103515625","0.00732421875","0.0048828125","2280","0.0002219600652824492","32","0.0002219600652824492","0","0.0002219600652824492","0.0002219600652824492","47:0.0017469397436837009;67:0.004690485673605749","47:68;67:68","47:0.002577158021401127;67:0.0037464192667975293","Yes"
"58","263.15277459203867","241.00467991310776","0.00390625","0.00244140625","0.00537109375","2280","0.00018801822690438873","32","0.00018801822690438873","0","0.00018801822690438873","0.00018801822690438873","71:0.001379168803476355;51:0.001644124394452634","71:68;51:68","71:0.0031451165026480654;51:0.0022284890831653636","Yes"
"59","339.69923618367903","432.47022684368955","0.007568359375","0.005859375","0.00927734375","2280","0.0002015600483998926","32","0.0002015600483998926","0","0.0002015600483998926","0.0002015600483998926","55:0.0016774836507531254;75:0.0013753308080312332","55:68;75:68","55:0.0034269824927674886;75:0.0024234968895288367","Yes"
"60","276.70894773702577","17.37962196550815","0.004638671875","0.0048828125","0.00439453125","2280","0.0005017198810512496","32","0.0005017198810512496","0","0.0005017198810512496","0.0005017198810512496","61:0.03501941708394951","61:68","61:0.022344219484306316","Yes"
"61","370.9768906135241","23.481521021701905","0.006103515625","0.00927734375","0.0029296875","2280","0.0003161144029966878","32","0.0003161144029966878","0","0.0003161144029966878","0.0003161144029966878","76:0.0033513828776513543;60:0.03501941708394951","76:68;60:68;62:68","76:0.0057188937988717214;60:0.022344219484306316","Yes"
"62","221.5817531240406","43.610700182890184","0.0126953125","0.01025390625","0.01513671875","2280","0.00041892539006829706","32","0.00041892539006829706","0","0.00041892539006829706","0.00041892539006829706","63:0.002963568931821564","61:68;63:68","63:0.0038904080601874502","Yes"
"63","303.00620465111393","28.42219981900111","0.010009765625","0.0107421875","0.00927734375","2280","0.00039780966380605125","32","0.00039780966380605125","0","0.00039780966380605125","0.00039780966380605125","56:0.0031800368244727373;62:0.002963568931821564;64:0.00196599189381072","56:68;62:68;64:68","56:0.002663180400891557;62:0.0038904080601874502;64:0.004454849290066121","Yes"
"64","234.4819402770171","124.88309558691908","0.005615234375","0.0078125","0.00341796875","2280","0.00016336911369485967","32","0.00016336911369485967","0","0.00016336911369485967","0.00016336911369485967","65:0.0672428143085036;63:0.00196599189381072","65:68;63:68","65:0.047338031260368396;63:0.004454849290066121","Yes"
"65","347.3249507272986","387.43554713802337","0.013671875","0.021484375","0.005859375","2280","0.00039031906474892923","32","0.00039031906474892923","0","0.00039031906474892923","0.00039031906474892923","64:0.0672428143085036;66:0.003684199377273961;77:0.0033846936649902515","64:68;66:68;77:68","64:0.047338031260368396;66:0.004779159701090774;77:0.004199110606768169","Yes"
"66","242.28110005670663","228.22670096288525","0.0068359375","0.009765625","0.00390625","2280","0.00029549169068573906","32","0.00029549169068573906","0","0.00029549169068573906","0.00029549169068573906","65:0.003684199377273961;67:0.002415878958473505","65:68;67:68","65:0.004779159701090774;67:0.0038774142036186177","Yes"
"67","264.4631995528802","214.83671797818448","0.00830078125","0.009765625","0.0068359375","2280","0.0002785730479154756","32","0.0002785730479154756","0","0.0002785730479154756","0.0002785730479154756","68:0.0017350431050385806;57:0.004690485673605749;66:0.002415878958473505","68:68;57:68;66:68","68:0.0018957216279296418;57:0.0037464192667975293;66:0.0038774142036186177","Yes"
"68","182.07218297857503","122.8725194113571","0.00390625","0.005859375","0.001953125","2280","0.00016611799290769364","32","0.00016611799290769364","0","0.00016611799290769364","0.00016611799290769364","67:0.0017350431050385806;69:0.003090192757943533","67:68;69:68","67:0.0018957216279296418;69:0.002511371741136331","Yes"
"69","295.8461452540238","224.74088594361422","0.004638671875","0.0048828125","0.00439453125","2280","0.0002121995417108797","32","0.0002121995417108797","0","0.0002121995417108797","0.0002121995417108797","78:0.004128066120006685;68:0.003090192757943533;70:0.0026143917184229537","78:68;68:68;70:68","78:0.00885051963268435;68:0.002511371741136331;70:0.004086023427208041","Yes"
"70","277.7079921132546","282.13832853612155","0.011474609375","0.01513671875","0.0078125","2280","0.00029901824043224607","32","0.00029901824043224607","0","0.00029901824043224607","0.00029901824043224607","69:0.0026143917184229537;71:0.002346579594825482","69:68;71:68","69:0.004086023427208041;71:0.0034382044353336583","Yes"
"71","391.3450718513903","173.45525090063467","0.005126953125","0.00927734375","0.0009765625","2280","0.0001337912486578153","32","0.0001337912486578153","0","0.0001337912486578153","0.0001337912486578153","72:0.001488823905467923;58:0.001379168803476355;70:0.002346579594825482","72:68;58:68;70:68","72:0.002109670708388578;58:0.0031451165026480654;70:0.0034382044353336583","Yes"
"72","90.61124731714364","105.59998100565775","0.030517578125","0.02880859375","0.0322265625","2280","0.00020486925992006867","32","0.00020486925992006867","0","0.00020486925992006867","0.00020486925992006867","73:0.0015712600230408658;71:0.001488823905467923","73:68;71:68","73:0.0022936129361344204;71:0.002109670708388578","Yes"
